group,proportion
het_black_female,0.004582111437
het_black_male,0.004582111437
het_hisp_female,0.004582111437
het_hisp_male,0.004582111437
het_white_female,0.004582111437
het_white_male,0.004582111437
idu_black_female,0.004582111437
idu_black_male,0.004582111437
idu_hisp_female,0.004582111437
idu_hisp_male,0.004582111437
idu_white_female,0.004582111437
idu_white_male,0.004582111437
msm_black_male,0.004582111437
msm_hisp_male,0.004582111437
msm_white_male,0.004582111437

78afb11136ad6826f4380131a8fb55a74548f900
